time_Biotrace;accel_x;accel_y;accel_z;lightning;speed_GPS;bearing_GPS
10:30:23:796;-0.32561144;0.15322891;10.036493;2763.3352;0;0
10:30:23:804;-0.32561144;0.15322891;10.036493;2763.3352;0;0
10:30:23:812;-0.32561144;0.15322891;10.036493;2763.3352;0;0
10:30:23:820;-0.32561144;0.15322891;10.036493;2763.3352;0;0
10:30:23:828;-0.32561144;0.15322891;10.036493;2763.3352;0;0
10:30:23:835;-0.21068975;0.05746084;9.998186;2763.3352;0;0
10:30:23:843;-0.21068975;0.05746084;9.998186;2763.3352;0;0
10:30:23:851;-0.21068975;0.05746084;9.998186;2763.3352;0;0
10:30:23:859;-0.21068975;0.05746084;9.998186;2730.7988;0;0
10:30:23:867;-0.21068975;0.05746084;9.998186;2730.7988;0;0
10:30:23:875;-0.21068975;0.05746084;9.998186;2730.7988;0;0
10:30:23:882;-0.21068975;0.05746084;9.998186;2730.7988;0;0
10:30:23:890;-0.21068975;0.05746084;9.998186;2730.7988;0;0
10:30:23:898;-0.21068975;0.05746084;9.998186;2730.7988;0;0
10:30:23:906;-0.21068975;0.05746084;9.998186;2730.7988;0;0
10:30:23:914;-0.21068975;0.05746084;9.998186;2730.7988;0;0
10:30:23:921;-0.21068975;0.05746084;9.998186;2730.7988;0;0
10:30:23:929;-0.21068975;0.05746084;9.998186;2730.7988;0;0
10:30:23:937;-0.21068975;0.05746084;9.998186;2730.7988;0;0
10:30:23:945;-0.21068975;0.05746084;9.998186;2730.7988;0;0
10:30:23:953;-0.05746084;0.1340753;9.921572;2730.7988;0;0
10:30:23:960;-0.05746084;0.1340753;9.921572;2730.7988;0;0
10:30:23:968;-0.05746084;0.1340753;9.921572;2730.7988;0;0
10:30:23:976;-0.05746084;0.1340753;9.921572;2730.7988;0;0
10:30:23:984;-0.05746084;0.1340753;9.921572;2852.005;0;0
10:30:23:992;-0.05746084;0.1340753;9.921572;2852.005;0;0
10:30:24:000;-0.05746084;0.1340753;9.921572;2852.005;0;0
10:30:24:007;-0.05746084;0.1340753;9.921572;2852.005;0;0
10:30:24:015;-0.05746084;0.1340753;9.921572;2852.005;0;0
10:30:24:023;-0.05746084;0.1340753;9.921572;2852.005;0;0
10:30:24:031;-0.05746084;0.1340753;9.921572;2852.005;0;0
10:30:24:039;-0.05746084;0.1340753;9.921572;2852.005;0;0
10:30:24:046;-0.05746084;0.1340753;9.921572;2852.005;0;0
10:30:24:054;-0.05746084;0.1340753;9.921572;2852.005;0;0
10:30:24:062;-0.05746084;0.1340753;9.921572;2852.005;0;0
10:30:24:070;-0.6703765;0.19153613;10.0748005;2852.005;0;0
10:30:24:078;-0.6703765;0.19153613;10.0748005;2852.005;0;0
10:30:24:085;-0.6703765;0.19153613;10.0748005;2852.005;0;0
10:30:24:093;-0.6703765;0.19153613;10.0748005;2852.005;0;0
10:30:24:101;-0.6703765;0.19153613;10.0748005;2625.088;0;0
10:30:24:109;-0.6703765;0.19153613;10.0748005;2625.088;0;0
10:30:24:117;-0.6703765;0.19153613;10.0748005;2625.088;0;0
10:30:24:125;-0.6703765;0.19153613;10.0748005;2625.088;0;0
10:30:24:132;-0.6703765;0.19153613;10.0748005;2625.088;0;0
10:30:24:140;-0.6703765;0.19153613;10.0748005;2625.088;0;0
10:30:24:148;-0.6703765;0.19153613;10.0748005;2625.088;0;0
10:30:24:156;-0.6703765;0.19153613;10.0748005;2625.088;0;0
10:30:24:164;-0.6703765;0.19153613;10.0748005;2625.088;0;0
