median(time1,time1+559);mean(AccX);var(AccX);kurtosis(AccX);EightythPercentile(AccX);mean(AccY);var(AccY);kurtosis(AccY);EightythPercentile(AccY);mean(AccZ);var(AccZ);kurtosis(AccZ);EightythPercentile(AccZ);mean(light);var(light);kurtosis(light);EightythPercentile(light);mean(speed);var(speed);kurtosis(speed);EightythPercentile(speed);mean(bearing);var(bearing);kurtosis(bearing);EightythPercentile(bearing);stressOrNonStress
12:40:57:093;0.399797477696;0.00531686151526;1.4610653627778056;0.4405331;0.126926892602;0.00373477402928;0.3510482898084675;0.17238252;9.95611669107;0.00326268450343;-1.0605485330269213;10.01734;641.699073446;351.708257026;-0.9808186933322638;659.2266;0.375926;0.0;-3.0;0.375926;0.0;0.0;-3.0;0.0;0
12:40:57:250;0.404449070196;0.00617338835442;1.0447199216343899;0.4405331;0.128534427936;0.00351867821752;0.5214275025599324;0.17238252;9.95361988839;0.00343353969891;-0.9163631239958345;10.01734;642.252515786;371.453443601;-1.0356957597878496;661.83417;0.375926;0.0;-3.0;0.375926;0.0;0.0;-3.0;0.0;0
12:40:57:406;0.404654287339;0.00618422571627;1.0264004008945227;0.4405331;0.125798197386;0.00364071562188;0.4825995047731557;0.17238252;9.94848945625;0.00336264743191;-0.6766560808060365;9.998186;642.899376357;398.990396574;-1.0236012951534288;664.45245;0.375926;0.0;-3.0;0.375926;0.0;0.0;-3.0;0.0;0
12:40:57:562;0.400857767518;0.00622952296555;1.0704310265240684;0.4405331;0.12213848922;0.00433649143452;0.5635949254260173;0.17238252;9.94510337946;0.00326422246437;-0.4946882911325021;9.998186;643.671753946;429.541652;-0.7497231049882016;664.45245;0.375926;0.0;-3.0;0.375926;0.0;0.0;-3.0;0.0;0
12:40:57:718;0.400618347375;0.00682954516637;0.9588112665460744;0.4405331;0.12165964907;0.0043523450719;0.554983137599665;0.17238252;9.944419325;0.00350558068752;-0.08898529311278214;9.998186;643.497831804;457.101541085;-0.8818802498778759;664.9781;0.375926;0.0;-3.0;0.375926;0.0;0.0;-3.0;0.0;0
12:40:57:875;0.406809068625;0.00767259169147;0.7094642844422001;0.4405331;0.120462548295;0.00435066636427;0.593596987949716;0.17238252;9.94435090536;0.00364234220186;0.6634672563796813;9.998186;643.839940107;465.135012602;-0.922837139291548;664.9781;0.375926;0.0;-3.0;0.375926;0.0;0.0;-3.0;0.0;0
12:40:58:031;0.411289645554;0.00795668766828;0.3925220684757016;0.47884035;0.120975591639;0.00435454437614;0.6296457163756091;0.17238252;9.94544538839;0.00368823714318;0.561219631175597;9.998186;642.821076821;460.815352958;-0.9311765295383672;664.45245;0.375926;0.0;-3.0;0.375926;0.0;0.0;-3.0;0.0;0
12:40:58:187;0.410229356089;0.00836850426713;0.4329647706653126;0.47884035;0.116973854607;0.00496151318471;0.48000450140988926;0.157059632;9.95064422768;0.00414014829718;0.07382515260422373;9.998186;641.991334964;441.594431799;-0.8536191477341761;664.45245;0.375926;0.0;-3.0;0.375926;0.0;0.0;-3.0;0.0;0
12:40:58:343;0.405577764518;0.00929917044419;0.2657210696318444;0.47884035;0.117657912279;0.0050027850253;0.43136568933654296;0.15322891;9.95433814196;0.00443842646678;-0.30916777779765825;10.01734;643.589737518;491.259913566;-0.3400769131068988;664.45245;0.375926;0.0;-3.0;0.375926;0.0;0.0;-3.0;0.0;0
12:40:58:500;0.407527329161;0.00932488234793;0.30008461367371986;0.45968673;0.119539070911;0.00498174549879;0.44091910453480443;0.17238252;9.95502219018;0.00460800326944;-0.4540365074300343;10.01734;643.270661089;512.740062191;-0.43917217661903774;664.45245;0.375926;0.0;-3.0;0.375926;0.0;0.0;-3.0;0.0;0
12:40:58:656;0.411802689464;0.0097453979982;0.17613682064463942;0.47884035;0.117076463304;0.00490932791791;0.48774128008078454;0.15322891;9.95450913839;0.00460210275871;-0.4100917237961146;10.01734;643.451718339;524.295464736;-0.5124183696075453;667.0807;0.375926;0.0;-3.0;0.375926;0.0;0.0;-3.0;0.0;0
12:40:58:812;0.41532558625;0.00961768808617;0.23689976000199842;0.47884035;0.117828926779;0.00489634741903;0.4220707958755656;0.17238252;9.95721115268;0.00466509243414;-0.5191345772167746;10.0211706;643.149124411;513.981081502;-0.425284457906578;664.45245;0.375926;0.0;-3.0;0.375926;0.0;0.0;-3.0;0.0;0
12:40:58:968;0.420319207821;0.0104157605035;-0.03884290882310726;0.47884035;0.119333853507;0.0049665657067;0.32722522703191315;0.17238252;9.95875028661;0.00472006996397;-0.6028082148098415;10.0211706;643.748353232;514.850616631;-0.43396939113498023;664.45245;0.375926;0.0;-3.0;0.375926;0.0;0.0;-3.0;0.0;0
12:40:59:125;0.42011399025;0.0101545498837;0.04599270703291003;0.47884035;0.119846896539;0.00500566750219;0.27851474825483935;0.17238252;9.95635610179;0.00476920233583;-0.5782633955936962;10.0211706;643.001556696;522.0212485;-0.4275794050092383;664.45245;0.375926;0.0;-3.0;0.375926;0.0;0.0;-3.0;0.0;0
12:40:59:281;0.425107611196;0.00961161443382;0.07133867268233907;0.49799395;0.120907185857;0.00495020669482;0.33911097281674607;0.17238252;9.95529581429;0.00483201462609;-0.6064621891969018;10.0211706;643.403596;520.310665438;-0.43584994437750346;664.45245;0.375926;0.0;-3.0;0.375926;0.0;0.0;-3.0;0.0;0
12:40:59:437;0.421345294768;0.00988100450568;-0.029467728139671134;0.49799395;0.122548924321;0.00492523769334;0.36548753847642335;0.17238252;9.95775841071;0.00487734666815;-0.6866956513589804;10.036493;642.780153;539.848569711;-0.5252835718957378;664.45245;0.375926;0.0;-3.0;0.375926;0.0;0.0;-3.0;0.0;0
12:40:59:593;0.421858338054;0.00979233670355;0.012252559639083227;0.49799395;0.122275301418;0.00495685136746;0.32540814558383735;0.17238252;9.95813464643;0.00476022611365;-0.6539471177824274;10.036493;642.182667589;528.440535595;-0.420518678545315;659.2266;0.375926;0.0;-3.0;0.375926;0.0;0.0;-3.0;0.0;0
12:40:59:750;0.418164427339;0.010078338437;-0.08215675140473033;0.49799395;0.122959358889;0.00489129369903;0.40072262920996904;0.17238252;9.96141811429;0.00490240141668;-0.7995166176761357;10.036493;642.4226465;522.722905003;-0.380236741255489;659.2266;0.375926;0.0;-3.0;0.375926;0.0;0.0;-3.0;0.0;0
12:40:59:906;0.413068197482;0.00988136934535;0.08180274391707165;0.47884035;0.126003415368;0.00465031778798;0.6408975589181884;0.17238252;9.96384652054;0.0052211702045;-0.7910128608234595;10.036493;642.3243115;524.35766464;-0.3916088476691981;659.2266;0.375926;0.0;-3.0;0.375926;0.0;0.0;-3.0;0.0;0
