Serial_no.;time1;time2;median(time1,time2);mean(HR1);mean(HR2);mean(HR3);mean(HR4);RMSSD1;RMSSD2;RMSSD3;RMSSD4;stress/non-stress
17;11:01:36:507;11:01:40:875;11:01:38:687;67.03710000000007;66.7150000000001;46.34339285714301;49.54604285714288;0.5032910894667163;0.0;77.20425203661323;60.195224471359744;0
18;11:01:36:664;11:01:41:031;11:01:38:843;66.97452857142862;66.7150000000001;41.55010714285717;54.49718571428567;0.5032910894667163;0.0;77.20425203661323;60.195224471359744;0
19;11:01:36:820;11:01:41:187;11:01:39:000;66.91195714285718;66.7150000000001;39.05582857142855;57.14932142857131;0.5032910894667163;0.0;95.24263852189362;22.64511843815762;0
20;11:01:36:976;11:01:41:343;11:01:39:156;66.8493857142858;65.5165357142858;38.1657214285714;59.39574999999982;0.5032910894667163;77.20425203661323;55.77332391098096;22.64511843815762;0
21;11:01:37:132;11:01:41:500;11:01:39:312;66.7868142857144;60.72325000000012;40.87043571428571;61.64217857142843;0.5032910894667163;77.20425203661323;55.77332391098096;22.64511843815762;0
22;11:01:37:289;11:01:41:656;11:01:39:468;66.72424285714297;55.929964285714426;43.57515000000002;63.88860714285704;0.5032910894667163;77.20425203661323;55.77332391098096;22.64511843815762;0
23;11:01:37:445;11:01:41:812;11:01:39:625;66.7150000000001;51.13667857142873;46.279864285714325;66.35793571428562;0.0;77.20425203661323;55.77332391098096;22.789542026931997;0
24;11:01:37:601;11:01:41:968;11:01:39:781;66.7150000000001;46.34339285714301;49.54604285714288;68.38604285714273;0.0;77.20425203661323;60.195224471359744;2.561608229045468;0
25;11:01:37:757;11:01:42:125;11:01:39:937;66.7150000000001;41.55010714285717;54.49718571428567;68.72918571428559;0.0;77.20425203661323;60.195224471359744;2.561608229045468;0
26;11:01:37:914;11:01:42:281;11:01:40:093;66.7150000000001;39.05582857142855;57.14932142857131;69.07232857142846;0.0;95.24263852189362;22.64511843815762;2.561608229045468;0
27;11:01:38:070;11:01:42:437;11:01:40:250;65.5165357142858;38.1657214285714;59.39574999999982;69.41547142857132;77.20425203661323;55.77332391098096;22.64511843815762;2.561608229045468;1
28;11:01:38:226;11:01:42:593;11:01:40:406;60.72325000000012;40.87043571428571;61.64217857142843;69.96907142857134;77.20425203661323;55.77332391098096;22.64511843815762;4.118992714797384;1
29;11:01:38:382;11:01:42:750;11:01:40:562;55.929964285714426;43.57515000000002;63.88860714285704;70.78021428571418;77.20425203661323;55.77332391098096;22.64511843815762;4.118992714797384;1
30;11:01:38:539;11:01:42:906;11:01:40:718;51.13667857142873;46.279864285714325;66.35793571428562;71.36845714285701;77.20425203661323;55.77332391098096;22.789542026931997;3.225564177851756;1
31;11:01:38:695;11:01:43:062;11:01:40:875;46.34339285714301;49.54604285714288;68.38604285714273;71.83645714285699;77.20425203661323;60.195224471359744;2.561608229045468;3.225564177851756;0
32;11:01:38:851;11:01:43:218;11:01:41:031;41.55010714285717;54.49718571428567;68.72918571428559;72.30445714285693;77.20425203661323;60.195224471359744;2.561608229045468;3.225564177851756;0
33;11:01:39:007;11:01:43:375;11:01:41:187;39.05582857142855;57.14932142857131;69.07232857142846;72.71699285714263;95.24263852189362;22.64511843815762;2.561608229045468;3.555447040488384;0
34;11:01:39:164;11:01:43:531;11:01:41:343;38.1657214285714;59.39574999999982;69.41547142857132;72.96370714285705;55.77332391098096;22.64511843815762;2.561608229045468;3.555447040488384;0
