Serial_no.;time1;time2;(time1+time2)/2;mean(HR1);mean(HR2);mean(HR3);mean(HR4);RMSSD1;RMSSD2;RMSSD3;RMSSD4;stress/non-stress
75;11:34:55:750;11:35:00:117;11:34:27:433;105.651371429;105.511;107.253342857;108.517828571;0.41664591437;0.896872193868;1.24316408674;0.57757134596;0
76;11:34:55:906;11:35:00:273;11:34:27:589;105.677514286;105.591857143;107.456457143;108.442057143;0.647086013296;1.44825179204;0.583828972264;0.581943924844;0
77;11:34:56:062;11:35:00:429;11:34:28:245;105.7038;105.751142857;107.619028571;108.252628571;0.647086013296;1.44825179204;0.583828972264;0.581943924844;0
78;11:34:56:218;11:35:00:585;11:34:28:401;105.730085714;105.910428571;107.7816;108.0632;0.647086013296;1.44825179204;0.583828972264;0.581943924844;0
79;11:34:56:375;11:35:00:742;11:34:28:558;105.741142857;106.157485714;107.949542857;107.873914286;0.896872193868;1.24316211684;0.577571549365;0.581939918551;0
80;11:34:56:531;11:35:00:898;11:34:28:714;105.664428571;106.522771429;108.138971429;107.631057143;0.896872193868;1.24316408674;0.57757134596;0.605675626134;0
81;11:34:56:687;11:35:01:054;11:34:28:370;105.587714286;106.888057143;108.3284;107.388342857;0.896872193868;1.24316408674;0.57757134596;0.605675626134;0
82;11:34:56:843;11:35:01:210;11:34:28:526;105.511;107.253342857;108.517828571;107.145628571;0.896872193868;1.24316408674;0.57757134596;0.605675626134;0
83;11:34:57:000;11:35:01:367;11:34:29:183;105.591857143;107.456457143;108.442057143;107.037885714;1.44825179204;0.583828972264;0.581943924844;0.234340152959;0
84;11:34:57:156;11:35:01:523;11:34:29:339;105.751142857;107.619028571;108.252628571;107.037885714;1.44825179204;0.583828972264;0.581943924844;0.234340152959;0
85;11:34:57:312;11:35:01:679;11:34:29:495;105.910428571;107.7816;108.0632;107.037885714;1.44825179204;0.583828972264;0.581943924844;0.234340152959;0
86;11:34:57:468;11:35:01:835;11:34:29:651;106.157485714;107.949542857;107.873914286;107.037885714;1.24316211684;0.577571549365;0.581939918551;0.234340152959;0
87;11:34:57:625;11:35:01:992;11:34:29:808;106.522771429;108.138971429;107.631057143;106.758257143;1.24316408674;0.57757134596;0.605675626134;1.33766244869;0
88;11:34:57:781;11:35:02:148;11:34:29:464;106.888057143;108.3284;107.388342857;106.3954;1.24316408674;0.57757134596;0.605675626134;1.33766244869;0
