ECG;SCR;Temp;HR;HRV_LF
-13812.746;5.098;34.005;70;70.064
-13359.558;5.098;34.005;70;70.064
-13280.282;5.098;34.003;70;72.127
-13474.684;5.097;34.003;70;72.127
-13422.745;5.097;34.003;70;72.127
-13440.029;5.097;34.003;70;72.127
-13338.145;5.097;34.004;70;72.127
-13329.899;5.096;34.004;70;72.127
-13322.424;5.096;34.005;70;72.127
-13331.671;5.096;34.005;70;72.127
-13317.452;5.096;34.002;70;72.127
-13310.612;5.095;34.006;70;72.127
-13246.508;5.095;34.004;70;72.127
-13065.726;5.095;34.004;70;72.127
-13193.47;5.095;34.005;70;72.127
-13260.628;5.095;34.005;70;72.127
-13291.715;5.095;34.007;70;72.127
-13236.735;5.094;34.006;70;72.127
-13201.898;5.094;34.008;70;72.127
-13134.618;5.093;34.004;70;72.127
-13052.497;5.093;34.005;70;72.127
-12972.928;5.093;34.003;70;72.127
-12897.158;5.093;34.002;70;72.127
-12809.479;5.092;34.003;70;72.127
-12785.477;5.092;34.002;70;72.127
-12709.805;5.092;34.001;70;72.127
-12604.548;5.091;34.003;70;72.127
-12729.386;5.091;34.004;70;72.127
-12890.013;5.091;34.002;70;72.127
-12909.947;5.09;34.001;70;72.127
-13026.54;5.09;34.001;70;72.127
-13127.582;5.089;34.003;70;72.127
-13121.292;5.089;34.005;70;72.127
-13173.816;5.089;34.003;70;72.127
-13176.271;5.088;34.002;70;73.991
-13157.949;5.088;34.001;70;73.991
-13141.397;5.088;34;70;73.991
-13104.068;5.087;34.002;70;73.991
-13085.38;5.087;34.001;70;73.991
-13222.114;5.086;34;70;73.991
-13212.782;5.085;34.001;70;73.991
-13035.786;5.085;34.001;70;73.991
-13233.145;5.085;34.001;70;73.991
-13289.028;5.084;34.004;70;73.991
-13233.657;5.084;34.005;70;73.991
-13219.146;5.084;34.002;70;73.991
-13216.165;5.083;34.004;70;73.991
-13195.449;5.082;34.003;70;73.991
-13176.442;5.082;34.003;70;73.991
-13143.511;5.082;34.003;70;73.991
-13126.056;5.081;34.002;70;73.991
-13216.703;5.08;34.003;70;73.991
-13248.706;5.08;34.002;70;73.991
-13244.162;5.08;34.005;70;73.991
-13425.457;5.079;34;70;73.991
-13360.144;5.079;34;70;73.991
-13336.874;5.078;34;70;73.991
-13298.287;5.078;34.001;70;73.991
-13319.077;5.077;34.001;70;73.991
-13301.108;5.077;34;70;73.991
-13255.339;5.076;34.005;70;73.991
-13269.973;5.075;34.003;70;73.991
-13282.896;5.075;34.004;70;73.991
-13329.729;5.074;34.004;70;73.991
-13287.904;5.074;34.001;70;73.991
-13300.192;5.073;34;70;73.991
-13338.083;5.073;34;70;75.626
-13368.291;5.073;34.001;70;75.626
-13323.438;5.072;34.002;70;75.626
-13282.7;5.071;34.001;70;75.626
-13324.476;5.07;34.003;70;75.626
-13385.624;5.07;34.002;70;75.626
-13341.76;5.069;34.001;70;75.626
-13331.988;5.069;34.001;70;75.626
-13308.327;5.068;34;70;75.626
-13321.898;5.067;34.001;70;75.626
-13317.721;5.067;34;70;75.626
-13308.315;5.066;34;70;75.626
-13342.884;5.066;34.001;70;75.626
-13354.402;5.065;33.999;70;75.626
-13372.615;5.064;33.998;70;75.626
-13399.134;5.063;34;70;75.626
-13442.827;5.063;33.999;70;75.626
-13465.877;5.062;33.997;70;75.626
-13429.378;5.062;34.001;70;75.626
-13452.844;5.061;34.001;70;75.626
-13462.921;5.06;34;70;75.626
-13447.493;5.059;34.001;70;75.626
-13531.972;5.059;33.998;70;75.626
-13561.838;5.058;33.998;70;75.626
-13303.563;5.057;34;70;75.626
-12313.379;5.057;34.001;70;75.626
-11804.319;5.056;33.999;70;75.626
-12381.918;5.055;34;70;75.626
-13785.91;5.054;33.999;79.38;75.626
-14042.314;5.054;34;79.38;75.626
-13651.874;5.053;34;79.38;75.626
-13503.315;5.052;33.999;79.38;75.626
-13530.47;5.052;33.999;79.385;77.011
