Time_Accel;AccelX;AccelY;AccelZ
10:25:27:028;-0.6512229;10.247183;-0.2873042
10:25:27:028;-0.6512229;10.247183;-0.2873042
10:25:27:028;-0.6512229;10.247183;-0.2873042
10:25:27:028;-0.6512229;10.247183;-0.2873042
10:25:27:028;-0.6512229;10.247183;-0.2873042
10:25:27:028;-0.6512229;10.247183;-0.2873042
10:25:27:028;-0.6512229;10.247183;-0.2873042
10:25:27:028;-0.6512229;10.247183;-0.2873042
10:25:27:028;-0.6512229;10.247183;-0.2873042
10:25:27:028;-0.6512229;10.247183;-0.2873042
10:25:27:028;-0.6512229;10.247183;-0.2873042
10:25:27:028;-0.6512229;10.247183;-0.2873042
10:25:27:028;-0.6512229;10.247183;-0.2873042
10:25:27:028;-0.6512229;10.247183;-0.2873042
10:25:27:028;-0.6512229;10.247183;-0.2873042
10:25:27:146;-0.095768064;9.9790325;-0.19153613
10:25:27:146;-0.095768064;9.9790325;-0.19153613
10:25:27:146;-0.095768064;9.9790325;-0.19153613
10:25:27:146;-0.095768064;9.9790325;-0.19153613
10:25:27:146;-0.095768064;9.9790325;-0.19153613
10:25:27:146;-0.095768064;9.9790325;-0.19153613
10:25:27:146;-0.095768064;9.9790325;-0.19153613
10:25:27:146;-0.095768064;9.9790325;-0.19153613
10:25:27:146;-0.095768064;9.9790325;-0.19153613
10:25:27:146;-0.095768064;9.9790325;-0.19153613
10:25:27:146;-0.095768064;9.9790325;-0.19153613
10:25:27:146;-0.095768064;9.9790325;-0.19153613
10:25:27:146;-0.095768064;9.9790325;-0.19153613
10:25:27:146;-0.095768064;9.9790325;-0.19153613
10:25:27:252;-0.63206923;10.01734;-0.7278373
10:25:27:252;-0.63206923;10.01734;-0.7278373
10:25:27:252;-0.63206923;10.01734;-0.7278373
10:25:27:252;-0.63206923;10.01734;-0.7278373
10:25:27:252;-0.63206923;10.01734;-0.7278373
10:25:27:252;-0.63206923;10.01734;-0.7278373
10:25:27:252;-0.63206923;10.01734;-0.7278373
