((time1+time2)*0.5);mean(AccX);var(AccX);kurtosis(AccX);EightythPercentile(AccX);mean(AccY);var(AccY);kurtosis(AccY);EightythPercentile(AccY);mean(AccZ);var(AccZ);kurtosis(AccZ);EightythPercentile(AccZ);mean(light);var(light);kurtosis(light);EightythPercentile(light);mean(speed);var(speed);kurtosis(speed);EightythPercentile(speed);mean(bearing);var(bearing);kurtosis(bearing);EightythPercentile(bearing)
10.0:12.0:4.5:511.5;-0.258436972673;0.365300417698;-0.690150838207205;0.36391866;0.182540779338;0.230421072128;-0.4246033199784227;0.5746084;10.0996320393;0.399109769626;-0.17110407563963648;10.649409;17.1831444475;167.554729533;-0.8855990692028302;34.944115;15.1920910089;0.013890260614;-0.010191697260205412;15.307558;311.904206589;0.276449039282;-1.6704735395054624;312.35782
10.0:12.0:4.5:667.5;-0.219856123173;0.375970678763;-0.6230316932868574;0.36391866;0.218795833623;0.2094374232;-0.24858895932746083;0.5746084;10.0700807393;0.404342250329;-0.12611679617747162;10.649409;15.9978912404;155.576325182;-0.5354040904268875;27.8144732;15.2014115804;0.0119755114918;0.7894120723757956;15.307558;311.860834804;0.260198992739;-1.5146075361366906;312.35782
10.0:12.0:5.0:323.5;-0.177854985959;0.371560842368;-0.48712727541918355;0.4405331;0.220198151623;0.202860979037;-0.19331856559401084;0.5746084;10.0439497304;0.422606124527;-0.24666777827234032;10.649409;14.9010502939;144.649990145;-0.06221328100356427;27.034927;15.2107321518;0.00988701626606;1.9780083605417085;15.307558;311.817463018;0.240186722604;-1.3037487773677925;312.35782
10.0:12.0:5.0:480.0;-0.128808055248;0.314724502677;-0.8464742701703045;0.4405331;0.222626556034;0.199110812222;-0.15740199263163168;0.5746084;10.0269166893;0.418366816288;-0.15249289448993553;10.649409;13.7313592689;128.019343193;0.6201664916369762;26.506489;15.2200527232;0.00762477493684;3.8771067356367643;15.307558;311.774091232;0.216412228877;-1.0330166661437057;312.35782
10.0:12.0:5.0:636.5;-0.142249788279;0.3066806495;-0.7584357355353277;0.36391866;0.268937257123;0.187252397986;0.24217821664048378;0.5746084;10.0203497464;0.409563578749;-0.052694442180861056;10.611102;12.6250616493;111.691712255;1.6071397556304499;20.58818;15.2293732946;0.00518878750412;7.250348316745647;15.307558;311.730719446;0.188875511558;-0.7082894077073236;312.35782
10.0:12.0:5.0:792.5;-0.121830667814;0.314346823121;-0.8802349699521952;0.4405331;0.207132648352;0.367768043501;6.761466154132595;0.61291564;10.0301659857;0.444425684442;0.34263051823030377;10.5191652;11.5375205421;93.8702426802;3.1451523798239007;17.034027;15.2386938661;0.00257905396788;13.158191651072418;15.307558;311.687347661;0.157576570647;-0.3867509266098601;312.35782
10.0:12.0:5.5:448.5;-0.11068052845;0.304048124916;-0.8113150889136596;0.4405331;0.25135697347;0.45209352133;5.23811143703864;0.61291564;9.99038801964;0.457005953029;0.4186282442235303;10.496181;10.6918482636;83.6950634931;4.893144573722535;16.181828;15.2418713839;0.00113955663458;0.0504331384687724;15.307558;311.649676589;0.132441646831;0.050433138469158756;312.35782
10.0:12.0:5.5:605.0;-0.132570371979;0.285684116408;-0.6487142103086745;0.36391866;0.230835244112;0.471362235987;4.4942774441321935;0.61291564;9.98676251964;0.457375179944;0.42371988951061734;10.496181;9.87742882786;73.6150367208;7.543280592829198;13.817951;15.2389058482;0.000987413478718;0.9826991160283138;15.224523;311.617706232;0.114759252201;0.9826991160298535;311.46265
10.0:12.0:6.0:261.5;-0.106952413604;0.304636094216;-0.7539667416345712;0.36391866;0.258197549398;0.447532186048;5.4510595229886345;0.61291564;9.95851094464;0.449689628294;0.5867538508764927;10.496181;9.089597795;63.1436442976;11.706829058535867;13.709272;15.2359403125;0.000817681518715;2.4321475625810978;15.224523;311.585735875;0.0950326500992;2.4321475625819575;311.46265
10.0:12.0:6.0:417.5;-0.120872986014;0.308387168645;-0.7178576758830837;0.4405331;0.297257239684;0.405264568989;7.411538522889238;0.61291564;9.93046458393;0.38380019787;0.28705902131691996;10.496181;7.93278458429;29.2277606343;15.636402602426578;13.388344;15.2329747768;0.000630360754566;4.937881483030309;15.224523;311.553765518;0.0732618405258;4.9378814830320295;311.46265
10.0:12.0:6.0:573.5;-0.115434728014;0.306347594098;-0.7025592823377687;0.4405331;0.294076371359;0.401543687813;7.56444355099975;0.61291564;9.96723266518;0.415764993263;-0.08753985969038558;10.611102;7.230367065;15.3441967783;0.6050396746962732;12.618505;15.2300092411;0.000425451186272;10.205880833030472;15.224523;311.521795161;0.0494468234807;10.205880833030482;311.46265
10.0:12.0:6.0:730.0;-0.134930369657;0.286549740232;-0.49802953396336136;0.36391866;0.279642755359;0.400557360567;7.454535684387414;0.61291564;9.99924657411;0.446843933006;-0.27175797561354154;10.6187634;6.79089959536;11.6243078602;1.0415692264869305;7.8880706;15.2270437054;0.000202952813833;27.972484021228546;15.224523;311.489824804;0.0235875989639;27.972484021233075;311.46265
10.0:12.0:6.5:386.5;-0.128773850818;0.266043666933;-0.33341596283861774;0.36391866;0.272460150395;0.39917721015;7.447942537284881;0.61291564;10.0151509045;0.460959853196;-0.3501907892582894;10.649409;6.40678661679;8.67832986673;1.962555594141394;5.5291324;15.224523;1.26217744835e-29;-2.0;15.224523;311.46265;0.0;-3.0;311.46265
10.0:12.0:6.5:542.5;-0.130312980639;0.257321741802;-0.1979402873537377;0.36391866;0.26732971827;0.399096842294;7.396860697448691;0.61291564;10.0659421902;0.430036448914;-0.37209995750056724;10.649409;6.07675387929;6.43362541234;3.792427473458317;5.149846;15.224523;1.26217744835e-29;-2.0;15.224523;311.46265;0.0;-3.0;311.46265
10.0:12.0:7.0:198.5;-0.129081676604;0.251090048591;-0.10337917690736331;0.36391866;0.24803929302;0.391531402472;7.580362664312279;0.55928552;10.0973404527;0.420622730271;-0.38158507561368316;10.668563;5.77164343446;4.35302964716;7.358042733292843;5.1295543;15.224523;1.26217744835e-29;-2.0;15.224523;311.46265;0.0;-3.0;311.46265
10.0:12.0:7.0:355.0;-0.0949814040857;0.258095860546;-0.3082927005608802;0.36391866;0.253819580327;0.385001866553;7.994916228537264;0.5554548;10.0975798857;0.398486895534;-0.26853392842382684;10.649409;5.47003817196;2.09994276438;14.233422303175647;5.1295543;15.224523;1.26217744835e-29;-2.0;15.224523;311.46265;0.0;-3.0;311.46265
10.0:12.0:7.0:511.5;-0.0789402526036;0.245255524574;-0.24902921661996125;0.36391866;0.226799304048;0.373854114651;8.297851724328718;0.5363012;10.1041126339;0.38971076445;-0.22733832449735258;10.649409;5.23234700411;0.565480000196;23.825328155783172;5.1295543;15.224523;1.26217744835e-29;-2.0;15.224523;311.46265;0.0;-3.0;311.46265
10.0:12.0:7.0:667.5;-0.0774695282589;0.236097196354;-0.16325564139209048;0.36391866;0.198445115077;0.382319613191;7.555534084519159;0.5363012;10.1173833268;0.385200757548;-0.2138687074968444;10.649409;5.10138649839;0.0693158395998;87.01941139012447;5.1295543;15.224523;1.26217744835e-29;-2.0;15.224523;311.46265;0.0;-3.0;311.46265
10.0:12.0:7.5:323.5;-0.0752463406304;0.235880524622;-0.1680095956068408;0.36391866;0.175084546766;0.379284309873;7.498084977617605;0.51714754;10.1573322857;0.397549845813;-0.40117192180518835;10.668563;5.06753973554;0.00757050351163;11.860064179078526;5.1295543;15.224523;1.26217744835e-29;-2.0;15.224523;311.46265;0.0;-3.0;311.46265
10.0:12.0:7.5:480.0;-0.0653275053446;0.246739865183;-0.3783638337162478;0.47884035;0.15866716313;0.375416547158;7.551947895066284;0.40222588;10.1463531839;0.405284939428;-0.4596228886215248;10.668563;5.05754212214;0.00516350673759;4.507160681403229;5.1295543;15.224523;1.26217744835e-29;-2.0;15.224523;311.46265;0.0;-3.0;311.46265
10.0:12.0:7.5:636.5;-0.0629333038268;0.246947371119;-0.38247236555888264;0.47884035;0.157504265314;0.374269610877;7.6052204437776805;0.40222588;10.1313039375;0.405338483977;-0.4267449197524096;10.668563;5.05124718286;0.00633863092707;2.4716200063064893;5.1295543;15.224523;1.26217744835e-29;-2.0;15.224523;311.46265;0.0;-3.0;311.46265
10.0:12.0:8.0:292.5;-0.0608811308768;0.244168306066;-0.3373583281447865;0.47884035;0.170330345507;0.378467857845;7.497291306778685;0.51714754;10.1193671295;0.40985520657;-0.44661185731232855;10.668563;5.04844217393;0.00676307719496;1.9082477693690594;5.11338494;15.224523;1.26217744835e-29;-2.0;15.224523;311.46265;0.0;-3.0;311.46265
