Time_Biotrace;Time_Accel;AccelX;AccelY;AccelZ
11:31:33:609;11:31:33:541;-0.90021986;9.5385;0.6512229
11:31:33:617;11:31:33:541;-0.90021986;9.5385;0.6512229
11:31:33:625;11:31:33:541;-0.90021986;9.5385;0.6512229
11:31:33:632;11:31:33:541;-0.90021986;9.5385;0.6512229
11:31:33:640;11:31:33:541;-0.90021986;9.5385;0.6512229
11:31:33:648;11:31:33:541;-0.90021986;9.5385;0.6512229
11:31:33:656;11:31:33:650;-0.9576807;10.0748005;-0.30645782
11:31:33:664;11:31:33:650;-0.9576807;10.0748005;-0.30645782
11:31:33:671;11:31:33:650;-0.9576807;10.0748005;-0.30645782
11:31:33:679;11:31:33:650;-0.9576807;10.0748005;-0.30645782
11:31:33:687;11:31:33:650;-0.9576807;10.0748005;-0.30645782
11:31:33:695;11:31:33:650;-0.9576807;10.0748005;-0.30645782
11:31:33:703;11:31:33:650;-0.9576807;10.0748005;-0.30645782
11:31:33:710;11:31:33:650;-0.9576807;10.0748005;-0.30645782
11:31:33:718;11:31:33:650;-0.9576807;10.0748005;-0.30645782
11:31:33:726;11:31:33:650;-0.9576807;10.0748005;-0.30645782
11:31:33:734;11:31:33:650;-0.9576807;10.0748005;-0.30645782
11:31:33:742;11:31:33:650;-0.9576807;10.0748005;-0.30645782
11:31:33:750;11:31:33:650;-0.9576807;10.0748005;-0.30645782
11:31:33:757;11:31:33:650;-0.9576807;10.0748005;-0.30645782
11:31:33:765;11:31:33:650;-0.9576807;10.0748005;-0.30645782
11:31:33:773;11:31:33:650;-0.9576807;10.0748005;-0.30645782
11:31:33:781;11:31:33:650;-0.9576807;10.0748005;-0.30645782
11:31:33:789;11:31:33:650;-0.9576807;10.0748005;-0.30645782
11:31:33:796;11:31:33:650;-0.9576807;10.0748005;-0.30645782
11:31:33:804;11:31:33:801;-0.6895301;9.883265;-0.2873042
11:31:33:812;11:31:33:801;-0.6895301;9.883265;-0.2873042
11:31:33:820;11:31:33:801;-0.6895301;9.883265;-0.2873042
11:31:33:828;11:31:33:801;-0.6895301;9.883265;-0.2873042
11:31:33:835;11:31:33:801;-0.6895301;9.883265;-0.2873042
11:31:33:843;11:31:33:801;-0.6895301;9.883265;-0.2873042
11:31:33:851;11:31:33:801;-0.6895301;9.883265;-0.2873042
11:31:33:859;11:31:33:801;-0.6895301;9.883265;-0.2873042
11:31:33:867;11:31:33:801;-0.6895301;9.883265;-0.2873042
11:31:33:875;11:31:33:801;-0.6895301;9.883265;-0.2873042
11:31:33:882;11:31:33:801;-0.6895301;9.883265;-0.2873042
11:31:33:890;11:31:33:801;-0.6895301;9.883265;-0.2873042
11:31:33:898;11:31:33:801;-0.6895301;9.883265;-0.2873042
11:31:33:906;11:31:33:801;-0.6895301;9.883265;-0.2873042
11:31:33:914;11:31:33:913;-0.7469909;10.113108;-0.90021986
11:31:33:921;11:31:33:913;-0.7469909;10.113108;-0.90021986
11:31:33:929;11:31:33:913;-0.7469909;10.113108;-0.90021986
11:31:33:937;11:31:33:913;-0.7469909;10.113108;-0.90021986
11:31:33:945;11:31:33:913;-0.7469909;10.113108;-0.90021986
11:31:33:953;11:31:33:913;-0.7469909;10.113108;-0.90021986
11:31:33:960;11:31:33:913;-0.7469909;10.113108;-0.90021986
11:31:33:968;11:31:33:913;-0.7469909;10.113108;-0.90021986
11:31:33:976;11:31:33:913;-0.7469909;10.113108;-0.90021986
11:31:33:984;11:31:33:913;-0.7469909;10.113108;-0.90021986
11:31:33:992;11:31:33:913;-0.7469909;10.113108;-0.90021986
11:31:34:000;11:31:33:913;-0.7469909;10.113108;-0.90021986
11:31:34:007;11:31:33:913;-0.7469909;10.113108;-0.90021986
11:31:34:015;11:31:33:913;-0.7469909;10.113108;-0.90021986
11:31:34:023;11:31:33:913;-0.7469909;10.113108;-0.90021986
11:31:34:031;11:31:33:913;-0.7469909;10.113108;-0.90021986
11:31:34:039;11:31:33:913;-0.7469909;10.113108;-0.90021986
11:31:34:046;11:31:34:046;-0.5746084;9.32781;0.5746084
11:31:34:054;11:31:34:046;-0.5746084;9.32781;0.5746084
11:31:34:062;11:31:34:046;-0.5746084;9.32781;0.5746084
11:31:34:070;11:31:34:046;-0.5746084;9.32781;0.5746084
11:31:34:078;11:31:34:046;-0.5746084;9.32781;0.5746084
11:31:34:085;11:31:34:046;-0.5746084;9.32781;0.5746084
11:31:34:093;11:31:34:046;-0.5746084;9.32781;0.5746084
11:31:34:101;11:31:34:046;-0.5746084;9.32781;0.5746084
11:31:34:109;11:31:34:046;-0.5746084;9.32781;0.5746084
11:31:34:117;11:31:34:046;-0.5746084;9.32781;0.5746084
11:31:34:125;11:31:34:046;-0.5746084;9.32781;0.5746084
11:31:34:132;11:31:34:046;-0.5746084;9.32781;0.5746084
11:31:34:140;11:31:34:046;-0.5746084;9.32781;0.5746084
11:31:34:148;11:31:34:046;-0.5746084;9.32781;0.5746084
11:31:34:156;11:31:34:152;-0.8619126;10.457873;-0.80445176
11:31:34:164;11:31:34:152;-0.8619126;10.457873;-0.80445176
11:31:34:171;11:31:34:152;-0.8619126;10.457873;-0.80445176
11:31:34:179;11:31:34:152;-0.8619126;10.457873;-0.80445176
11:31:34:187;11:31:34:152;-0.8619126;10.457873;-0.80445176
11:31:34:195;11:31:34:152;-0.8619126;10.457873;-0.80445176
11:31:34:203;11:31:34:152;-0.8619126;10.457873;-0.80445176
