Time_Biotrace;Time_Light;Lightning
11:31:12:859;11:31:12:752;504.0134
11:31:12:867;11:31:12:752;504.0134
11:31:12:875;11:31:12:752;504.0134
11:31:12:882;11:31:12:752;504.0134
11:31:12:890;11:31:12:883;516.095
11:31:12:898;11:31:12:883;516.095
11:31:12:906;11:31:12:883;516.095
11:31:12:914;11:31:12:883;516.095
11:31:12:921;11:31:12:883;516.095
11:31:12:929;11:31:12:883;516.095
11:31:12:937;11:31:12:883;516.095
11:31:12:945;11:31:12:883;516.095
11:31:12:953;11:31:12:883;516.095
11:31:12:960;11:31:12:883;516.095
11:31:12:968;11:31:12:883;516.095
11:31:12:976;11:31:12:883;516.095
11:31:12:984;11:31:12:883;516.095
11:31:12:992;11:31:12:883;516.095
11:31:13:000;11:31:12:996;518.13666
11:31:13:007;11:31:12:996;518.13666
11:31:13:015;11:31:12:996;518.13666
11:31:13:023;11:31:12:996;518.13666
11:31:13:031;11:31:12:996;518.13666
11:31:13:039;11:31:12:996;518.13666
11:31:13:046;11:31:12:996;518.13666
11:31:13:054;11:31:12:996;518.13666
11:31:13:062;11:31:12:996;518.13666
11:31:13:070;11:31:12:996;518.13666
11:31:13:078;11:31:12:996;518.13666
11:31:13:085;11:31:12:996;518.13666
11:31:13:093;11:31:12:996;518.13666
11:31:13:101;11:31:13:100;512.03595
11:31:13:109;11:31:13:100;512.03595
11:31:13:117;11:31:13:100;512.03595
11:31:13:125;11:31:13:100;512.03595
11:31:13:132;11:31:13:100;512.03595
11:31:13:140;11:31:13:100;512.03595
11:31:13:148;11:31:13:100;512.03595
11:31:13:156;11:31:13:100;512.03595
11:31:13:164;11:31:13:100;512.03595
11:31:13:171;11:31:13:100;512.03595
11:31:13:179;11:31:13:100;512.03595
11:31:13:187;11:31:13:100;512.03595
11:31:13:195;11:31:13:100;512.03595
11:31:13:203;11:31:13:100;512.03595
11:31:13:210;11:31:13:100;512.03595
11:31:13:218;11:31:13:100;512.03595
11:31:13:226;11:31:13:220;486.41916
11:31:13:234;11:31:13:220;486.41916
11:31:13:242;11:31:13:220;486.41916
11:31:13:250;11:31:13:220;486.41916
11:31:13:257;11:31:13:220;486.41916
11:31:13:265;11:31:13:220;486.41916
11:31:13:273;11:31:13:220;486.41916
11:31:13:281;11:31:13:220;486.41916
11:31:13:289;11:31:13:220;486.41916
11:31:13:296;11:31:13:220;486.41916
11:31:13:304;11:31:13:220;486.41916
11:31:13:312;11:31:13:220;486.41916
11:31:13:320;11:31:13:220;486.41916
11:31:13:328;11:31:13:325;486.41916
11:31:13:335;11:31:13:325;486.41916
11:31:13:343;11:31:13:325;486.41916
11:31:13:351;11:31:13:325;486.41916
11:31:13:359;11:31:13:325;486.41916
11:31:13:367;11:31:13:325;486.41916
11:31:13:375;11:31:13:325;486.41916
11:31:13:382;11:31:13:325;486.41916
11:31:13:390;11:31:13:325;486.41916
11:31:13:398;11:31:13:325;486.41916
11:31:13:406;11:31:13:325;486.41916
11:31:13:414;11:31:13:325;486.41916
11:31:13:421;11:31:13:325;486.41916
11:31:13:429;11:31:13:426;506.00702
11:31:13:437;11:31:13:426;506.00702
11:31:13:445;11:31:13:426;506.00702
11:31:13:453;11:31:13:426;506.00702
11:31:13:460;11:31:13:426;506.00702
11:31:13:468;11:31:13:426;506.00702
11:31:13:476;11:31:13:426;506.00702
11:31:13:484;11:31:13:426;506.00702
11:31:13:492;11:31:13:426;506.00702
11:31:13:500;11:31:13:426;506.00702
11:31:13:507;11:31:13:426;506.00702
11:31:13:515;11:31:13:426;506.00702
11:31:13:523;11:31:13:426;506.00702
11:31:13:531;11:31:13:426;506.00702
11:31:13:539;11:31:13:426;506.00702
11:31:13:546;11:31:13:426;506.00702
11:31:13:554;11:31:13:550;498.07898
11:31:13:562;11:31:13:550;498.07898
11:31:13:570;11:31:13:550;498.07898
11:31:13:578;11:31:13:550;498.07898
11:31:13:585;11:31:13:550;498.07898
11:31:13:593;11:31:13:550;498.07898
11:31:13:601;11:31:13:550;498.07898
11:31:13:609;11:31:13:550;498.07898
11:31:13:617;11:31:13:550;498.07898
11:31:13:625;11:31:13:550;498.07898
11:31:13:632;11:31:13:550;498.07898
11:31:13:640;11:31:13:550;498.07898
11:31:13:648;11:31:13:550;498.07898
11:31:13:656;11:31:13:656;476.91132
11:31:13:664;11:31:13:656;476.91132
11:31:13:671;11:31:13:656;476.91132
11:31:13:679;11:31:13:656;476.91132
11:31:13:687;11:31:13:656;476.91132
11:31:13:695;11:31:13:656;476.91132
11:31:13:703;11:31:13:656;476.91132
11:31:13:710;11:31:13:656;476.91132
11:31:13:718;11:31:13:656;476.91132
11:31:13:726;11:31:13:656;476.91132
11:31:13:734;11:31:13:656;476.91132
11:31:13:742;11:31:13:656;476.91132
11:31:13:750;11:31:13:656;476.91132
11:31:13:757;11:31:13:656;476.91132
11:31:13:765;11:31:13:656;476.91132
11:31:13:773;11:31:13:656;476.91132
11:31:13:781;11:31:13:774;498.07898
11:31:13:789;11:31:13:774;498.07898
11:31:13:796;11:31:13:774;498.07898
11:31:13:804;11:31:13:774;498.07898
11:31:13:812;11:31:13:774;498.07898
11:31:13:820;11:31:13:774;498.07898
11:31:13:828;11:31:13:774;498.07898
11:31:13:835;11:31:13:774;498.07898
11:31:13:843;11:31:13:774;498.07898
11:31:13:851;11:31:13:774;498.07898
11:31:13:859;11:31:13:774;498.07898
