((time1+time2)*0.5);mean(AccX);var(AccX);kurtosis(AccX);EightythPercentile(AccX);mean(AccY);var(AccY);kurtosis(AccY);EightythPercentile(AccY);mean(AccZ);var(AccZ);kurtosis(AccZ);EightythPercentile(AccZ);mean(light);var(light);kurtosis(light);EightythPercentile(light);mean(speed);var(speed);kurtosis(speed);EightythPercentile(speed);mean(bearing);var(bearing);kurtosis(bearing);EightythPercentile(bearing);stress/non-stress
11:32:33:343;-0.662509825557;0.512387800109;-0.5375969411022132;-0.038307227;-0.645305753018;0.0518712180553;-0.8495546944140946;-0.4213795;9.99421863304;0.0315604985014;1.3068697355303955;10.0748005;729.426635268;1187.63807969;-0.3851811141566861;753.9298;0.180486277911;0.0307538701745;0.7661653307231941;0.34529927;129.280950038;917.638686018;-1.9173026580021089;162.43538;1
11:32:33:500;-0.660594464243;0.514479169364;-0.5625124622221671;-0.038307227;-0.636276192696;0.0544762111705;-0.9401245581172537;-0.4213795;9.98737808304;0.0346694427375;1.0378758891226978;10.0748005;728.119148214;1255.88769913;-0.5184352209317376;753.9298;0.201551880054;0.037215380925;0.1328888648296349;0.34529927;126.756715216;922.297111536;-1.8414279653438597;162.43538;1
11:32:33:656;-0.616130717804;0.567984712237;-0.8936212071326235;0.32561144;-0.655190388143;0.068617383255;-0.3295564313647268;-0.4213795;9.96049461161;0.0425344564989;3.2314509695359463;10.0748005;728.767489643;1265.69785419;-0.5711354896001462;753.9298;0.222617482196;0.0427893724883;-0.38553446074665176;0.34529927;124.232480395;914.212014187;-1.7246235051477123;162.43538;1
11:32:33:812;-0.595643192196;0.59613301762;-1.0666574204485213;0.38307226;-0.648418218;0.0686933899806;-0.30028469234475974;-0.4213795;10.0009566143;0.0702140020647;4.586358108677101;10.093954;730.85213525;1308.27295875;-0.6533261752458466;756.9125;0.243683084339;0.0474758448642;-0.783988258783928;0.34529927;121.708245573;893.383393971;-1.5577564540464846;162.43538;1
11:32:33:968;-0.569649001468;0.630713498459;-1.231623827657411;0.38307226;-0.631350981036;0.0721394062054;-0.24914139648429456;-0.40222588;10.0105334205;0.0700770810942;4.443832370307931;10.093954;732.531329161;1375.89991173;-0.803242022575529;765.93036;0.264748686482;0.0512747980529;-1.0839352172012233;0.6393039;119.184010752;859.811250887;-1.3277750992009256;162.43538;1
11:32:34:125;-0.548101185743;0.646725012296;-1.3592880564297092;0.390733708;-0.645374163161;0.0806902613201;-0.4216396515058065;-0.40222588;10.0246591973;0.0696564571779;4.293857119257249;10.1590764;734.271239786;1645.27898993;0.41855950785828044;772.0021;0.295263273268;0.063277117264;-0.7120763495146614;0.6393039;116.433701109;826.135419619;-1.0179413678092528;162.43538;1
11:32:34:281;-0.507468163475;0.67449345589;-1.5334188536852602;0.4213795;-0.638054746411;0.0802104127028;-0.3771642411567857;-0.40222588;10.0195971795;0.0719165846035;3.990902101457894;10.1590764;735.679797893;1864.37794682;0.5459131082429001;772.0021;0.325777860054;0.0734171564617;-0.7939009489900415;0.6393039;113.683391466;777.331182089;-0.6102382111037055;162.43538;1
11:32:34:437;-0.445971381814;0.709485352183;-1.6437465305559051;0.4213795;-0.635660544982;0.0827279956545;-0.45429753282536556;-0.36391866;10.0113542741;0.0743392392765;3.7174284584313737;10.1590764;738.510079107;2421.6085331;1.2119435600730757;772.0021;0.356292446839;0.081694915646;-0.9670409940182219;0.6393039;110.933081823;713.398538295;-0.05921182640839495;162.43538;1
11:32:34:593;-0.367475766689;0.740358548615;-1.699098414862734;0.5554548;-0.623313305464;0.0829714727636;-0.37722517230671304;-0.36391866;10.0015380393;0.0838216189683;2.938383139550938;10.1743988;742.907925179;3097.81323294;0.9241699470463267;772.0021;0.386807033625;0.0881103948168;-1.136208884519738;0.6393039;108.18277218;634.337488239;0.7113320710988091;106.110214;1
11:32:34:750;-0.300506523654;0.742645696052;-1.7292734199322157;0.5554548;-0.613804904893;0.0819821418129;-0.25734604313245946;-0.36391866;10.0059159875;0.08441510497;2.8198950093817396;10.1743988;745.525137786;3280.36710995;0.4370893302067018;793.63477;0.417321620411;0.0926635939743;-1.275192000032509;0.6393039;105.432462538;540.148031919;1.8415838631852104;106.110214;0
